gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,Churn
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0681592039800995,0.2122144011077775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0412746970245512,0
1.0,1.0,1.0,0.0,0.625,1.0,0.0,0.5661691542288557,0.3994403415647357,1.0,0.3662297489730485,0.2135812741413237,1.0,0.4766885829623695,0.2194726820296504,1.0,0.8435070774716963,0.0,0.0,0
0.0,0.0,1.0,1.0,0.8194444444444444,1.0,1.0,0.7800995024875622,0.6418186014308793,1.0,1.0,1.0,0.4377236721562871,1.0,0.2194726820296504,1.0,0.8435070774716963,1.0,0.0412746970245512,0
1.0,0.0,0.0,0.0,0.0138888888888888,1.0,1.0,0.3552238805970149,0.0040560812370182,0.0,0.3662297489730485,0.2135812741413237,1.0,1.0,0.2194726820296504,1.0,1.0,1.0,1.0,1
0.0,0.0,0.0,1.0,0.2222222222222222,1.0,1.0,0.6094527363184079,0.1437110546965151,1.0,1.0,1.0,1.0,1.0,0.2194726820296504,1.0,1.0,0.2053558061221587,0.0,0
1.0,0.0,1.0,1.0,0.2083333333333333,1.0,1.0,0.4119402985074626,0.0978882990999307,1.0,0.3662297489730485,1.0,1.0,0.4766885829623695,0.2194726820296504,1.0,1.0,1.0,0.0412746970245512,0
0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.2661691542288557,0.2512693284098777,0.2079011367288039,0.3662297489730485,0.2135812741413237,1.0,0.4766885829623695,1.0,1.0,0.8435070774716963,0.2053558061221587,0.0,0
1.0,0.0,0.0,0.0,0.3472222222222222,1.0,1.0,0.6044776119402985,0.2173090237710593,0.0,0.3662297489730485,0.2135812741413237,0.4377236721562871,1.0,0.2194726820296504,0.8431264763534358,0.8435070774716963,1.0,0.1401913625967844,0
0.0,0.0,0.0,0.0,0.1111111111111111,1.0,1.0,0.8099502487562189,0.0925109623817216,1.0,1.0,1.0,1.0,0.4766885829623695,1.0,0.8431264763534358,0.8435070774716963,1.0,1.0,1
1.0,0.0,0.0,0.0,0.0138888888888888,1.0,0.0,0.017412935323383,0.0001384721901684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1401913625967844,1
1.0,0.0,0.0,0.0,0.0138888888888888,1.0,0.0,0.3283582089552238,0.0037445188091391,0.0,0.3662297489730485,0.2135812741413237,1.0,1.0,1.0,1.0,1.0,1.0,0.1401913625967844,0
0.0,1.0,1.0,0.0,0.9027777777777776,1.0,1.0,0.8756218905472636,0.8032540964689592,1.0,1.0,1.0,0.4377236721562871,0.4766885829623695,1.0,0.8431264763534358,0.8435070774716963,0.2053558061221587,1.0,1
0.0,1.0,1.0,0.0,0.75,1.0,1.0,0.8044776119402984,0.6252365566582045,0.0,1.0,1.0,1.0,0.4766885829623695,0.2194726820296504,0.8431264763534358,0.8435070774716963,0.2053558061221587,1.0,0
1.0,0.0,0.0,0.0,0.0555555555555555,1.0,0.0,0.0074626865671641,0.0063062543272559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1401913625967844,0
0.0,0.0,1.0,0.0,0.9583333333333331,1.0,1.0,0.8771144278606965,0.8346526655896607,0.0,1.0,0.2135812741413237,0.4377236721562871,1.0,0.2194726820296504,0.8431264763534358,0.8435070774716963,0.2053558061221587,0.0,0
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0756218905472637,0.2138702977152088,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0.3055555555555555,1.0,0.0,0.0248756218905472,0.0500288483729517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053558061221587,0.0412746970245512,0
0.0,0.0,1.0,1.0,0.7222222222222222,1.0,0.0,0.0134328358208955,0.1146549734594968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053558061221587,0.0,0
1.0,0.0,0.0,1.0,0.0138888888888888,0.0,0.0,0.0646766169154228,0.000686591276252,0.2079011367288039,0.3662297489730485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,0.0,1.0,1.0,0.4305555555555555,1.0,0.0,0.7069651741293532,0.3235864297253635,1.0,1.0,0.2135812741413237,1.0,0.4766885829623695,0.2194726820296504,1.0,1.0,1.0,1.0,0
1.0,0.0,0.0,0.0,0.3055555555555555,1.0,0.0,0.0203980099502487,0.0526540503115624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053558061221587,0.1401913625967844,0
0.0,0.0,1.0,1.0,0.1111111111111111,1.0,1.0,0.0159203980099502,0.0147472882529425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1401913625967844,0
1.0,0.0,1.0,0.0,0.8333333333333333,1.0,0.0,0.0587064676616915,0.171601661666282,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053558061221587,0.0412746970245512,0
0.0,0.0,1.0,0.0,0.4861111111111111,1.0,1.0,0.517910447761194,0.2766847449803831,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,0.0,0.0,0.2777777777777778,1.0,0.0,0.7134328358208956,0.1880510039233787,0.0,1.0,1.0,1.0,1.0,1.0,0.8431264763534358,0.8435070774716963,1.0,1.0,0
1.0,0.0,1.0,1.0,0.0694444444444444,1.0,0.0,0.0184079601990049,0.0076505885068082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053558061221587,0.1401913625967844,0
